cancer_type,gene,cancer_carriers,cancer_total,control_carriers,control_total,cancer_freq_pct,control_freq_pct,enrichment,odds_ratio,p_value,q_value,significant
Breast,APC,3,11598,5,30000,0.02586652871184687,0.016666666666666666,1.55,1.552,0.6937261616822692,1.0,False
Breast,ATM,71,11598,73,30000,0.6121745128470426,0.24333333333333335,2.52,2.525,6.123709780151201e-08,1.1995266804649117e-06,True
Breast,BAP1,2,11598,15,30000,0.01724435247456458,0.05,0.34,0.345,0.17991255288197378,0.44659852956421525,False
Breast,BARD1,23,11598,8,30000,0.19831005345749267,0.02666666666666667,7.44,7.449,1.1399612792507504e-07,2.108928366613888e-06,True
Breast,BRCA1,162,11598,41,30000,1.396792550439731,0.13666666666666666,10.22,10.351,1.8820910544477813e-53,3.133681605655556e-51,True
Breast,BRCA2,227,11598,58,30000,1.95723400586308,0.19333333333333333,10.12,10.306,4.276733408950856e-74,1.424152225180635e-71,True
Breast,BRIP1,10,11598,17,30000,0.08622176237282289,0.05666666666666667,1.52,1.522,0.28784918197951426,0.6247839972102535,False
Breast,CDH1,3,11598,3,30000,0.02586652871184687,0.01,2.59,2.587,0.3581674005235318,0.6934287463624191,False
Breast,CDKN2A,3,11598,7,30000,0.02586652871184687,0.023333333333333334,1.11,1.109,1.0,1.0,False
Breast,CHEK2,28,11598,23,30000,0.24142093464390413,0.07666666666666667,3.15,3.154,5.635642100000089e-05,0.0007819453413750124,True
Breast,EPCAM,2,11598,2,30000,0.01724435247456458,0.006666666666666667,2.59,2.587,0.31115105225573275,0.6395882740812284,False
Breast,FH,3,11598,3,30000,0.02586652871184687,0.01,2.59,2.587,0.3581674005235318,0.6934287463624191,False
Breast,FLCN,5,11598,4,30000,0.043110881186411446,0.013333333333333334,3.23,3.234,0.1276646099521503,0.37635452252390605,False
Breast,KIT,1,11598,1,30000,0.00862217623728229,0.0033333333333333335,2.59,2.587,0.47989195442352095,0.8685001131686548,False
Breast,MET,1,11598,0,30000,0.00862217623728229,0.0,inf,inf,0.2788114813212173,0.6148624058275852,False
Breast,MITF,34,11598,68,30000,0.29315399206759785,0.22666666666666668,1.29,1.294,0.22457096676305416,0.5229519715531261,False
Breast,MLH1,6,11598,6,30000,0.05173305742369374,0.02,2.59,2.587,0.10689511184281374,0.3414283999311366,False
Breast,MSH2,2,11598,4,30000,0.01724435247456458,0.013333333333333334,1.29,1.293,0.6736243394238515,1.0,False
Breast,MSH6,11,11598,34,30000,0.09484393861010519,0.11333333333333334,0.84,0.837,0.7397918571302703,1.0,False
Breast,MUTYH,145,11598,264,30000,1.2502155544059321,0.88,1.42,1.426,0.0008595599795500039,0.006981304224150032,True
Breast,NBN,12,11598,12,30000,0.10346611484738748,0.04,2.59,2.588,0.02171810065572445,0.11855946751403676,False
Breast,NF1,19,11598,9,30000,0.1638213485083635,0.03,5.46,5.468,1.2584134556114186e-05,0.0001995484193898107,True
Breast,NTHL1,15,11598,21,30000,0.12933264355923435,0.06999999999999999,1.85,1.849,0.09175327645601017,0.3204841472774034,False
Breast,PALB2,57,11598,33,30000,0.49146404552509054,0.11,4.47,4.485,2.696858202604715e-12,1.1225672268342127e-10,True
Breast,PMS2,10,11598,24,30000,0.08622176237282289,0.08,1.08,1.078,0.8490135596098356,1.0,False
Breast,POLE,4,11598,9,30000,0.03448870494912916,0.03,1.15,1.15,0.7640409693300585,1.0,False
Breast,PTEN,5,11598,1,30000,0.043110881186411446,0.0033333333333333335,12.93,12.938,0.00775608504624613,0.04873162868679173,True
Breast,RAD51C,8,11598,9,30000,0.06897740989825832,0.03,2.3,2.3,0.10143334333617693,0.3344287458509596,False
Breast,RAD51D,11,11598,11,30000,0.09484393861010519,0.03666666666666667,2.59,2.588,0.029992744579036966,0.15365513761260477,False
Breast,RET,13,11598,8,30000,0.11208829108466976,0.02666666666666667,4.2,4.207,0.0011577239934441712,0.009179097376593072,True
Breast,SDHA,10,11598,20,30000,0.08622176237282289,0.06666666666666667,1.29,1.294,0.5417470981440307,0.9020949841721825,False
Breast,SDHB,2,11598,8,30000,0.01724435247456458,0.02666666666666667,0.65,0.647,0.7360581165194638,1.0,False
Breast,SDHD,1,11598,0,30000,0.00862217623728229,0.0,inf,inf,0.2788114813212173,0.6148624058275852,False
Breast,TP53,17,11598,9,30000,0.14657699603379892,0.03,4.89,4.892,7.497392060741903e-05,0.0009602429062411745,True
Breast,VHL,1,11598,2,30000,0.00862217623728229,0.006666666666666667,1.29,1.293,1.0,1.0,False
Breast,RB1,0,11598,0,30000,0.0,0.0,inf,,1.0,1.0,False
Breast,SMAD4,0,11598,1,30000,0.0,0.0033333333333333335,0.0,0.0,1.0,1.0,False
Colorectal,APC,13,3610,5,30000,0.3601108033240997,0.016666666666666666,21.61,21.681,1.2614768984484322e-09,4.2007180718332794e-08,True
Colorectal,ATM,14,3610,73,30000,0.3878116343490305,0.24333333333333335,1.59,1.596,0.11656875077144874,0.3511392171653577,False
Colorectal,BAP1,1,3610,15,30000,0.02770083102493075,0.05,0.55,0.554,1.0,1.0,False
Colorectal,BARD1,4,3610,8,30000,0.110803324099723,0.02666666666666667,4.16,4.159,0.03242636729633709,0.15649246825623553,False
Colorectal,BRCA1,10,3610,41,30000,0.2770083102493075,0.13666666666666666,2.03,2.03,0.06417477491487218,0.251414118195911,False
Colorectal,BRCA2,10,3610,58,30000,0.2770083102493075,0.19333333333333333,1.43,1.434,0.3226071682939914,0.6445613828043124,False
Colorectal,BRIP1,4,3610,17,30000,0.110803324099723,0.05666666666666667,1.96,1.956,0.2745656448413226,0.6148624058275852,False
Colorectal,CDH1,0,3610,3,30000,0.0,0.01,0.0,0.0,1.0,1.0,False
Colorectal,CDKN2A,1,3610,7,30000,0.02770083102493075,0.023333333333333334,1.19,1.187,0.597117508674352,0.9747065215125452,False
Colorectal,CHEK2,3,3610,23,30000,0.08310249307479224,0.07666666666666667,1.08,1.084,0.7546928206552439,1.0,False
Colorectal,EPCAM,0,3610,2,30000,0.0,0.006666666666666667,0.0,0.0,1.0,1.0,False
Colorectal,FH,0,3610,3,30000,0.0,0.01,0.0,0.0,1.0,1.0,False
Colorectal,FLCN,1,3610,4,30000,0.02770083102493075,0.013333333333333334,2.08,2.078,0.43343706293434003,0.7974284086029572,False
Colorectal,KIT,0,3610,1,30000,0.0,0.0033333333333333335,0.0,0.0,1.0,1.0,False
Colorectal,MET,0,3610,0,30000,0.0,0.0,inf,,1.0,1.0,False
Colorectal,MITF,15,3610,68,30000,0.41551246537396125,0.22666666666666668,1.83,1.837,0.047668633858225874,0.21614149247068223,False
Colorectal,MLH1,28,3610,6,30000,0.775623268698061,0.02,38.78,39.076,4.720046505000396e-22,3.143550972330264e-20,True
Colorectal,MSH2,20,3610,4,30000,0.554016620498615,0.013333333333333334,41.55,41.777,2.7560338975817727e-16,1.529598813157884e-14,True
Colorectal,MSH6,22,3610,34,30000,0.6094182825484765,0.11333333333333334,5.38,5.404,2.5303515011561993e-08,5.617380332566762e-07,True
Colorectal,MUTYH,52,3610,264,30000,1.440443213296399,0.88,1.64,1.646,0.0018117133287379108,0.014030245080691261,True
Colorectal,NBN,2,3610,12,30000,0.0554016620498615,0.04,1.39,1.385,0.6566800239302817,1.0,False
Colorectal,NF1,3,3610,9,30000,0.08310249307479224,0.03,2.77,2.772,0.13046204509533554,0.3810865001469012,False
Colorectal,NTHL1,4,3610,21,30000,0.110803324099723,0.06999999999999999,1.58,1.584,0.3366222988324327,0.6593836794776475,False
Colorectal,PALB2,6,3610,33,30000,0.16620498614958448,0.11,1.51,1.512,0.30466908668992354,0.6350097338668377,False
Colorectal,PMS2,13,3610,24,30000,0.3601108033240997,0.08,4.5,4.514,7.300257664539376e-05,0.0009602429062411745,True
Colorectal,POLE,1,3610,9,30000,0.02770083102493075,0.03,0.92,0.923,1.0,1.0,False
Colorectal,PTEN,1,3610,1,30000,0.02770083102493075,0.0033333333333333335,8.31,8.312,0.20328328342577726,0.48700239842290527,False
Colorectal,RAD51C,1,3610,9,30000,0.02770083102493075,0.03,0.92,0.923,1.0,1.0,False
