gene,cancer_type,huang_status,enrichment,p_value,replicated
BRCA1,Breast,known,10.22,1.882091054447781e-53,True
BRCA1,Ovarian,known,24.58,1.030786820806458e-42,True
BRCA2,Breast,known,10.12,4.276733408950856e-74,True
BRCA2,Ovarian,known,13.97,4.56112302079179e-28,True
ATM,Breast,known,2.52,6.123709780151201e-08,True
CHEK2,Breast,known,3.15,5.635642100000089e-05,True
PALB2,Breast,known,4.47,2.696858202604715e-12,True
TP53,Breast,known,4.89,7.497392060741903e-05,True
BRCA2,Prostate,known,3.32,7.85027816364547e-10,True
ATM,Prostate,emerging,2.21,5.412518667614929e-05,True
MLH1,Colorectal,known,38.78,4.720046505000396e-22,True
MSH2,Colorectal,known,41.55,2.7560338975817727e-16,True
MSH6,Colorectal,known,5.38,2.5303515011561997e-08,True
PMS2,Colorectal,known,4.5,7.300257664539376e-05,True
APC,Colorectal,known,21.61,1.261476898448432e-09,True
BRCA1,Pancreatic,emerging,5.16,0.0007894188148321,True
BRCA2,Pancreatic,known,7.82,8.768916372844498e-09,True
ATM,Pancreatic,known,6.63,2.1299665034769516e-08,True
CDKN2A,Melanoma,known,20.31,1.4467338215159976e-09,True
CDH1,Stomach,known,80.97,2.2912146330246184e-06,True
SDHA,Melanoma,novel,0.59,1.0,False
