cancer_type,gene,cancer_carriers,cancer_total,control_carriers,control_total,cancer_freq_pct,control_freq_pct,enrichment,odds_ratio,p_value,q_value,significant
Stomach,CDH1,4,494,3,30000,0.8097165991902834,0.01,80.97,81.624,2.2912146330246184e-06,3.8148723639859895e-05,True
Kidney,VHL,8,2454,2,30000,0.32599837000814996,0.006666666666666667,48.9,49.056,4.1424587015117744e-08,8.621492172521381e-07,True
Stomach,MSH2,3,494,4,30000,0.6072874493927125,0.013333333333333334,45.55,45.819,0.00014090406770356757,0.0015640351515096,True
Colorectal,MSH2,20,3610,4,30000,0.554016620498615,0.013333333333333334,41.55,41.777,2.7560338975817727e-16,1.529598813157884e-14,True
Ovarian,PTEN,2,1518,1,30000,0.13175230566534915,0.0033333333333333335,39.53,39.577,0.006731622715617073,0.04395353655491148,True
Colorectal,MLH1,28,3610,6,30000,0.775623268698061,0.02,38.78,39.076,4.720046505000396e-22,3.143550972330264e-20,True
Kidney,FH,9,2454,3,30000,0.36674816625916873,0.01,36.67,36.806,1.4208431686323972e-08,3.6395444242660634e-07,True
Stomach,MLH1,3,494,6,30000,0.6072874493927125,0.02,30.36,30.544,0.0003300795062301267,0.003140470730703777,True
Ovarian,BRCA1,51,1518,41,30000,3.3596837944664033,0.13666666666666666,24.58,25.403,1.030786820806458e-42,1.1441733710951684e-40,True
Pancreatic,APC,4,992,5,30000,0.4032258064516129,0.016666666666666666,24.19,24.287,0.00011558169697785126,0.0013271967273663613,True
Colorectal,APC,13,3610,5,30000,0.3601108033240997,0.016666666666666666,21.61,21.681,1.2614768984484322e-09,4.2007180718332794e-08,True
Melanoma,CDKN2A,12,2532,7,30000,0.47393364928909953,0.023333333333333334,20.31,20.403,1.4467338215159976e-09,4.3796578414984294e-08,True
Pancreatic,CDKN2A,4,992,7,30000,0.4032258064516129,0.023333333333333334,17.28,17.347,0.0002875577066010894,0.0028720152543468764,True
Kidney,FLCN,5,2454,4,30000,0.20374898125509372,0.013333333333333334,15.28,15.31,0.00023947191379085635,0.002492004602886099,True
Kidney,MSH2,5,2454,4,30000,0.20374898125509372,0.013333333333333334,15.28,15.31,0.00023947191379085635,0.002492004602886099,True
Ovarian,BRCA2,41,1518,58,30000,2.7009222661396577,0.19333333333333333,13.97,14.33,4.56112302079179e-28,3.7971349148091654e-26,True
Breast,PTEN,5,11598,1,30000,0.043110881186411446,0.0033333333333333335,12.93,12.938,0.00775608504624613,0.04873162868679173,True
Pancreatic,BARD1,3,992,8,30000,0.3024193548387097,0.02666666666666667,11.34,11.372,0.0044494831806077325,0.031525061683880314,True
Ovarian,RAD51C,5,1518,9,30000,0.32938076416337286,0.03,10.98,11.012,0.0003576661697454213,0.003218995527708792,True
Breast,BRCA1,162,11598,41,30000,1.396792550439731,0.13666666666666666,10.22,10.351,1.8820910544477813e-53,3.133681605655556e-51,True
Breast,BRCA2,227,11598,58,30000,1.95723400586308,0.19333333333333333,10.12,10.306,4.276733408950856e-74,1.424152225180635e-71,True
Melanoma,TP53,7,2532,9,30000,0.2764612954186414,0.03,9.22,9.238,0.00010460223860035083,0.0012440194804970294,True
Ovarian,TP53,4,1518,9,30000,0.2635046113306983,0.03,8.78,8.804,0.002700110289805772,0.019980816144562714,True
Pancreatic,BRCA2,15,992,58,30000,1.5120967741935485,0.19333333333333333,7.82,7.926,8.768916372844498e-09,2.4333742934643483e-07,True
Breast,BARD1,23,11598,8,30000,0.19831005345749267,0.02666666666666667,7.44,7.449,1.1399612792507504e-07,2.108928366613888e-06,True
